ID,Candidate State,Age Range,Residence,Sex,Protected category,TAG,Study area,Study Title,Years Experience,Sector,Last Role,Year of insertion,Recruitment Request,Assumption Headquarters,Job Family Hiring,Job Title Hiring,Overall,Job Description,Candidate Profile,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,Technical Skills,Standing/Position,Comunication,Maturity,Dynamism,Mobility,English,number_of_searches,Hired,Residence Country,Residence Italian Region,Residence Italian Province,Residence Italian City IT,Residence Italian City EN,Italian Residence,European Residence,Assumption HQ Lat,Assumption HQ Lng,Akkodis HQ Lat,Akkodis HQ Lng,Residence Lat,Residence Lon,candidate_text,Distance Residence - Akkodis HQ,Distance Residence - Assumption HQ
61513,in selection,26 - 30 years,SAVONA » Savona ~ Liguria,Male,False,,Mechanical engineering,Three-year degree,[0],Others,student,[2021],,,,,1.5,,,,,,,,,,,2.0,1.0,1.5,1.0,1.5,3.0,3.0,1511.0,False,ITALY,Liguria,Savona,Savona,SAVONA,True,True,,,,,44.3081,8.4811,Three-year degree in Mechanical engineering. Worked in the Others sector. Last held the role of student. with [0] years of experience.,,
61523,in selection,26 - 30 years,VICENZA » Vicenza ~ Veneto,Male,False,"MS PROJECT, OFFICE, WINDCHILL",Mechanical engineering,Five-year degree,[3-5],Automotive,project manager,[2020],,,,,3.0,,,,,,,,,35000.0,39000.0,3.0,3.0,3.0,2.5,2.5,2.0,3.0,1485.0,False,ITALY,Veneto,Vicenza,Vicenza,VICENZA,True,True,,,,,45.55,11.55,"Five-year degree in Mechanical engineering. Worked in the Automotive sector. Last held the role of project manager. with [3-5] years of experience. Key skills include: MS PROJECT, OFFICE, WINDCHILL.",,
61558,first contact,26 - 30 years,TURIN » Turin ~ Piedmont,Male,False,,Mechanical engineering,Five-year degree,[0-1],Others,research fellow,[2020],,,,,3.0,,,,,,,,,,,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1418.0,False,ITALY,Piedmont,Turin,Torino,TURIN,True,True,,,,,45.0792,7.6761,Five-year degree in Mechanical engineering. Worked in the Others sector. Last held the role of research fellow. with [0-1] years of experience.,,
61562,in selection,26 - 30 years,ROME » Rome ~ Lazio,Male,False,"EXCEL, MATLAB, AUTOCAD, SOLIDEDGE, LABVIEW, ARDUINO, PLC, LABVIEW, PSPICE",Electrical Engineering,Three-year degree,[0],Others,master's student,[2022],,,,,2.5,,,,,,,,,,,2.0,2.0,2.5,2.0,2.5,3.0,3.0,350.0,False,ITALY,Lazio,Rome,Roma,ROME,True,True,,,,,41.8931,12.4828,"Three-year degree in Electrical Engineering. Worked in the Others sector. Last held the role of master's student. with [0] years of experience. Key skills include: EXCEL, MATLAB, AUTOCAD, SOLIDEDGE, LABVIEW, ARDUINO, PLC, LABVIEW, PSPICE.",,
61580,first contact,26 - 30 years,GALLARATE » Varese ~ Lombardy,Male,False,"EXCEL, SAP, POWER BI, OFFICE, EXCEL, SAP, QUARTA, MATLAB",Management Engineering,Five-year degree,[3-5],Aeronautics,junior project manager,[2022],,,,,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,False,ITALY,Lombardy,Varese,Gallarate,GALLARATE,True,True,,,,,45.6649,8.7914,"Five-year degree in Management Engineering. Worked in the Aeronautics sector. Last held the role of junior project manager. with [3-5] years of experience. Key skills include: EXCEL, SAP, POWER BI, OFFICE, EXCEL, SAP, QUARTA, MATLAB.",,
61663,hired,40 - 45 years,CORSICO » Milan ~ Lombardy,Male,False,DATA ANALYST; SAP BO; REPORTS; DASHBOARD,Informatics,High school graduation,[+10],Services and Information Systems,business analyst,[2020],,Milan,Engineering,Consultant,2.0,,,,,,,,,,25000.0,2.5,2.0,2.0,2.5,2.0,2.0,2.0,960.0,True,ITALY,Lombardy,Milan,Corsico,CORSICO,True,True,45.4669,9.19,,,45.4333,9.1167,High school graduation in Informatics. Worked in the Services and Information Systems sector. Last held the role of business analyst. with [+10] years of experience. Key skills include: DATA ANALYST; SAP BO; REPORTS; DASHBOARD.,,6.842837865377572
61667,in selection,26 - 30 years,BERGAMO » Bergamo ~ Lombardy,Male,False,OFFICE,Chemist - Pharmaceutical,High school graduation,[7-10],Others,qc analyst,[2023],,,,,2.0,,,,,,,,,,,2.0,2.5,2.5,2.0,2.0,1.5,2.5,207.0,False,ITALY,Lombardy,Bergamo,Bergamo,BERGAMO,True,True,,,,,45.695,9.67,High school graduation in Chemist - Pharmaceutical. Worked in the Others sector. Last held the role of qc analyst. with [7-10] years of experience. Key skills include: OFFICE.,,
61749,hired,36 - 40 years,SPAIN » (COUNTRY) ~ (OVERSEAS),Male,False,"AEROSPACE, CATIA (BASIC MODULE, SHEET METAL AERO, FTA, CPD), CATIA 5, CATIA, PART DESIGN, GSD, COMPOSITES, MECHANICAL DESIGN",Mechanical engineering,Professional qualification,[+10],Aeronautics,designer,[2020],,Gallarate,Engineering,Consultant,3.0,,,,,,,,,33000.0,33000.0,3.6666666666666665,2.6666666666666665,2.6666666666666665,3.0,2.6666666666666665,3.0,2.3333333333333335,21.0,True,SPAIN,,,Spain,,False,True,45.6649,8.7914,,,40.463667,-3.74922,"Professional qualification in Mechanical engineering. Worked in the Aeronautics sector. Last held the role of designer. with [+10] years of experience. Key skills include: AEROSPACE, CATIA (BASIC MODULE, SHEET METAL AERO, FTA, CPD), CATIA 5, CATIA, PART DESIGN, GSD, COMPOSITES, MECHANICAL DESIGN.",,1171.6721277323418
61827,first contact,< 20 years,VILLASANTA » Monza-Brianza ~ Lombardy,Male,False,MECHANICAL ENGINEER,Mechanical engineering,Three-year degree,[7-10],Machining - Heavy Industry,project engineer,[2022],,,,,3.0,,,,,,,,,,,2.0,3.0,2.0,3.0,3.0,2.0,3.0,1110.0,False,ITALY,Lombardy,Monza-brianza,Villasanta,VILLASANTA,True,True,,,,,45.6053,9.3033,Three-year degree in Mechanical engineering. Worked in the Machining - Heavy Industry sector. Last held the role of project engineer. with [7-10] years of experience. Key skills include: MECHANICAL ENGINEER.,,
61908,qm,31 - 35 years,TURIN » Turin ~ Piedmont,Female,False,"C, C, C++, C, PYTHON, MATLAB, SIMULINK, EMBEDDED,, C++, PYTHON, JAVA, MATLAB, C#",Informatics,Five-year degree,[1-3],Consulting,computer vision engineer,[2022],,,,,2.0,,,,,,,,,,,2.5,2.0,2.0,2.0,2.0,2.0,3.0,629.5,False,ITALY,Piedmont,Turin,Torino,TURIN,True,True,,,,,45.0792,7.6761,"Five-year degree in Informatics. Worked in the Consulting sector. Last held the role of computer vision engineer. with [1-3] years of experience. Key skills include: C, C, C++, C, PYTHON, MATLAB, SIMULINK, EMBEDDED,, C++, PYTHON, JAVA, MATLAB, C#.",,
61917,in selection,26 - 30 years,BOLOGNA » Bologna ~ Emilia Romagna,Male,False,"JAVA, CODESYS, C++, OFFICE, EXCEL, SAP, EXCEL, OFFICE",Management Engineering,Five-year degree,[0],Automotive,internship pm,[2023],,,,,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,852.0,False,ITALY,Emilia romagna,Bologna,Bologna,BOLOGNA,True,True,,,,,44.4939,11.3428,"Five-year degree in Management Engineering. Worked in the Automotive sector. Last held the role of internship pm. with [0] years of experience. Key skills include: JAVA, CODESYS, C++, OFFICE, EXCEL, SAP, EXCEL, OFFICE.",,
61946,hired,36 - 40 years,ROME » Rome ~ Lazio,Male,False,"ASPEN HYSYS, PROCESS ENGINEERING",chemical engineering,Five-year degree,[7-10],Oil and Gas,process engineer oil&gas engineering,[2019],RS19.0832 - PROCESS ENGINEER & REFINERY UTILITIES,Rome,Engineering,,3.0,"the process engineer is assigned to a project to produce the documents and the deliverables pertaining to the discipline, in compliance with the quality requirements and with the project schedule under the supervision of the process manager or of the senior process engineer. during the execution of the project, the duties of the process engineer are: • according to his/her expertise, the process engineer produces the documents/deliverables and carries out the activities of his/her competence in compliance with the time schedule, the quality requirements, the contractual and company standards, procedures and work instructions; • he/she interacts with the other discipline engineers for the process topics of his/her competence; • he/she provides assistance during the construction and the commissioning phases from home office and/or at site as per project needs. as a member of the department, the duties of the process engineer are: • to provide feedback to the process head of department concerning problems arising from application of standard methods and work instruction to improve the effectiveness and efficiency of the department.","master's degree in chemical engineering; -work experience gained in engineering companies in the process area; -knowledge of the workflow of an international design company; -fluency in english; -availability to travel; -good knowledge of aspen hysys; - detailed knowledge of refinery utility facilities, including thermal desalination, steam generation and distribution, fuel gas systems, flare systems, compressed air generation and distribution, water and condensate demineralization, spent caustic treatment, refinery wastewater treatment, cooling towers and once-through cooling water systems.",[3-5],29000.0,49000.0,Five-year degree,chemical engineering,Rome,41000.0,45000.0,3.3333333333333335,3.0,3.0,3.0,2.3333333333333335,2.3333333333333335,3.0,832.0,True,ITALY,Lazio,Rome,Roma,ROME,True,True,41.8931,12.4828,41.8931,12.4828,41.8931,12.4828,"Five-year degree in chemical engineering. Worked in the Oil and Gas sector. Last held the role of process engineer oil&gas engineering. with [7-10] years of experience. Key skills include: ASPEN HYSYS, PROCESS ENGINEERING.",0.0,0.0
62028,first contact,36 - 40 years,AUGUSTA » Syracuse ~ Sicily,Male,False,"., HSE ASSISTANT, HSE SUPERVISOR",Other scientific subjects,Three-year degree,[+10],Oil and Gas,prevention and protection service officer,[2022],,,,,2.0,,,,,,,,,35000.0,37000.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,152.0,False,ITALY,Sicily,Syracuse,Augusta,AUGUSTA,True,True,,,,,37.2303,15.2194,"Three-year degree in Other scientific subjects. Worked in the Oil and Gas sector. Last held the role of prevention and protection service officer. with [+10] years of experience. Key skills include: ., HSE ASSISTANT, HSE SUPERVISOR.",,
62240,in selection,31 - 35 years,LOVED » Catanzaro ~ Calabria,Female,False,"., HAZOP, HAZID, PROCESS SAFETY, PROCESS SAFETY ENGINEER, QRA, RISK ANALYSIS, SAFETY CRITICAL ELEMENTS",chemical engineering,Five-year degree,[1-3],Oil and Gas,process safety engineer,[2020],,,,,2.3333333333333335,,,,,,,,,23000.0,27000.0,2.3333333333333335,2.6666666666666665,2.6666666666666665,2.6666666666666665,3.0,3.0,2.3333333333333335,560.3333333333334,False,ITALY,Calabria,Catanzaro,Amato,LOVED,True,True,,,,,38.38333,16.13333,"Five-year degree in chemical engineering. Worked in the Oil and Gas sector. Last held the role of process safety engineer. with [1-3] years of experience. Key skills include: ., HAZOP, HAZID, PROCESS SAFETY, PROCESS SAFETY ENGINEER, QRA, RISK ANALYSIS, SAFETY CRITICAL ELEMENTS.",,
62242,in selection,20 - 25 years,SANT'ALESSIO SICULO » Messina ~ Sicily,Female,False,"., AEROSPACE ENGINEERING, ING. AEROSPACE, MATLAB SIMULINK, V AND V ENGINEER",Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],Others,fresh graduate,[2022],,,,,2.0,,,,,,,,,,,2.0,2.0,2.0,1.5,2.0,1.5,3.0,785.0,False,ITALY,Sicily,Messina,Sant'Alessio Siculo,SANT'ALESSIO SICULO,True,True,,,,,37.92516,15.34968,"Five-year degree in Aeronautical/Aerospace/Astronautics Engineering. Worked in the Others sector. Last held the role of fresh graduate. with [0] years of experience. Key skills include: ., AEROSPACE ENGINEERING, ING. AEROSPACE, MATLAB SIMULINK, V AND V ENGINEER.",,
62267,hired,26 - 30 years,LECCE » Lecce ~ Puglia,Female,False,"MATLAB, SIMULINK, JAVA, OFFICE, MATLAB, VISUAL STUDIO, JAVA, SQL, C, C++, C#, PROJECT MANAGEMENT, PROJECT MANAGEMENT, ICT, IT",Management Engineering,Five-year degree,[0],Others,recent master's graduate,[2022],Junior ICT Product Owner,Turin,Tech Consulting & Solutions,Advanced Consultant,2.25,"essential responsibilities: - goals definition of the tools, prioritization of changes of the tools; - clusterization, scrap and analysis of business needs; - definition of business requirements to formalize the need for ict; - check that ict functional analysis is compliant with the business requirement; - definition of user acceptance test; - about uat: the first session in made by ict+supplier, the second is made by pm&t, the third is made by business with support of pm&t; - go/nogo decision after uat; - end user training organization and conduction; - user enabling and revalidation; - 1st level user support - bugs management with ict into ams; - update project documentation; - conduction of periodic sal; - planning development and monitoring. communication (list the types of individuals this position regularly communicates with, both internally and externally (ie customers, suppliers, regulatory agencies, union representatives), and describe the nature of the communication (ie information exchange, influence and negotiate): - communication with every company function at different levels (platform core team plus function managers); - communication with ict suppliers; - the communication type includes effective communication (in english) to guarantee company objectives achievement.","requirements (including education, competences & years of experience): - previous project management experience and functional analysis; - good knowledge of office pack; - experience in the field of business requirements collection, drafting of functional documentation, definition and analysis of processes; - bachelor's degree in technical – scientific subjects (engineering, mathematics, physics, statistics, computer science, information systems); - systemic approach to any topics and good attention to details; - focused on project objectives; - critical thinking; - excellent organizational and time management skills; - good analytical and planning skills; - learn quickly and work under pressure in a fast-paced environment; - work effectively within a team setting.",[0-1],23000.0,27000.0,Three-year degree,Management Engineering,Turin,,,1.5,2.25,2.5,2.5,2.5,3.25,3.0,435.0,True,ITALY,Puglia,Lecce,Lecce,LECCE,True,True,45.0792,7.6761,45.0792,7.6761,40.352,18.1691,"Five-year degree in Management Engineering. Worked in the Others sector. Last held the role of recent master's graduate. with [0] years of experience. Key skills include: MATLAB, SIMULINK, JAVA, OFFICE, MATLAB, VISUAL STUDIO, JAVA, SQL, C, C++, C#, PROJECT MANAGEMENT, PROJECT MANAGEMENT, ICT, IT.",1006.0494925115155,1006.0494925115155
62478,in selection,20 - 25 years,TURIN » Turin ~ Piedmont,Male,False,"BACKEND, JAVA, PYTHON, PHP, LINUX, BASH, C, C++, FRONTEND, HTML, CSS, JS, JAVA, C, C++, MATLAB, PYTHON, PHP, SQL",computer engineering,Three-year degree,[0],Others,recent master's graduate,[2022],,,,,2.0,,,,,,,,,,,1.5,2.0,2.0,2.5,2.0,2.5,3.0,687.0,False,ITALY,Piedmont,Turin,Torino,TURIN,True,True,,,,,45.0792,7.6761,"Three-year degree in computer engineering. Worked in the Others sector. Last held the role of recent master's graduate. with [0] years of experience. Key skills include: BACKEND, JAVA, PYTHON, PHP, LINUX, BASH, C, C++, FRONTEND, HTML, CSS, JS, JAVA, C, C++, MATLAB, PYTHON, PHP, SQL.",,
62532,hired,20 - 25 years,CARINARO » Caserta ~ Campania,Female,False,"BIOMEDICAL, C++, ELECTRONIC, RADAR",electronic Engineering,Five-year degree,[0],Others,graduate student,[2022],Electronics Engineer - Radar Manufacturing,Milan,Engineering,Consultant,2.6666666666666665,"qualification: - diploma in electronics expert - three-year degree in electronic engineering required level of experience (junior, expert, senior, master): - junior profile - expert profile (preferable) technical skills: - ability to read technical documentation (drawings, electrical diagrams and procedures) - excellent knowledge of analogue and digital electronics - knowledge of the use of laboratory instruments (setting and reading power supplies, multimeters, oscilloscopes, function generators) - ability to analyze electronic circuits to carry out troubleshooting (troubleshooting) behavioral skills: - aptitude for working independently and for team working - sense of urgency - ability to operate in stressful situations and with different activities simultaneously - ability to compile detailed reports on the activity carried out - propensity to interface with different company figures - good ability to expose technical concepts language skills: - english computer skills: - ability to use the personal computer and in particular microsoft office applications (word, excel, powerpoint) and outlook (e-mail) - basic knowledge of the instructions of a programming language; other (e.g. availability to travel/specific certifications required...): - availability to travel",x,[1-3],,,Three-year degree,electronic Engineering,Milan,,,2.3333333333333335,2.3333333333333335,2.0,2.0,1.6666666666666667,2.6666666666666665,3.0,695.0,True,ITALY,Campania,Caserta,Carinaro,CARINARO,True,True,45.4669,9.19,45.4669,9.19,40.98291,14.21963,"Five-year degree in electronic Engineering. Worked in the Others sector. Last held the role of graduate student. with [0] years of experience. Key skills include: BIOMEDICAL, C++, ELECTRONIC, RADAR.",644.0278064051981,644.0278064051981
62672,first contact,26 - 30 years,TURIN » Turin ~ Piedmont,Female,False,.,Biomedical Engineering,Five-year degree,[0],,,[2021],,,,,3.0,,,,,,,,,,,2.0,2.0,3.0,2.0,3.0,3.0,3.0,848.0,False,ITALY,Piedmont,Turin,Torino,TURIN,True,True,,,,,45.0792,7.6761,Five-year degree in Biomedical Engineering. with [0] years of experience. Key skills include: ..,,
62737,hired,31 - 35 years,NICKEL » Turin ~ Piedmont,Male,False,"MATLAB/ SIMULINK, NX, SOLIDWORKS",Mechanical engineering,Five-year degree,[0],,,[2019],,Turin,Engineering,Junior Consultant,2.5,,,,,,,,,,,2.0,2.0,2.5,2.0,2.5,2.5,2.5,416.0,True,ITALY,Piedmont,Turin,Nichelino,NICKEL,True,True,45.0792,7.6761,,,44.9955,7.6466,"Five-year degree in Mechanical engineering. with [0] years of experience. Key skills include: MATLAB/ SIMULINK, NX, SOLIDWORKS.",,9.587829262616747
62753,in selection,26 - 30 years,RIONERO IN VULTURE » Potenza ~ Basilicata,Female,False,"C, MATLAB, SIMULINK, SOLIDWORKS",Biomedical Engineering,Five-year degree,[0-1],Others,business analyst,[2019],,,,,2.0,,,,,,,,,,,2.0,2.0,2.5,2.0,2.0,2.0,3.0,254.0,False,ITALY,Basilicata,Potenza,Rionero in Vulture,RIONERO IN VULTURE,True,True,,,,,40.9167,15.6667,"Five-year degree in Biomedical Engineering. Worked in the Others sector. Last held the role of business analyst. with [0-1] years of experience. Key skills include: C, MATLAB, SIMULINK, SOLIDWORKS.",,
62762,in selection,< 20 years,FOSSALTA DI PORTOGRUARO » Venice ~ Veneto,Female,False,"-, HUMAN RESOURCES",Communication Sciences,Five-year degree,[0],Others,graduate student,[2022],,,,,2.0,,,,,,,,,,,2.0,2.0,2.0,2.5,3.0,3.5,2.0,455.0,False,ITALY,Veneto,Venice,Fossalta di Portogruaro,FOSSALTA DI PORTOGRUARO,True,True,,,,,45.79329,12.90998,"Five-year degree in Communication Sciences. Worked in the Others sector. Last held the role of graduate student. with [0] years of experience. Key skills include: -, HUMAN RESOURCES.",,
62766,hired,26 - 30 years,LIVORNO » Livorno ~ Tuscany,Male,False,"C++, RADAR, SOFTWARE DEVELOPMENT",computer engineering,Three-year degree,[3-5],Consulting,sw engineer,[2022],Software Development C++ (c# python) ,Pisa,Engineering,Consultant,2.0,"degree in computer science, computer engineering or equivalent; • solid foundations in computer science, with in-depth knowledge of algorithms and data structures and software design methodologies; • excellent knowledge of object oriented programming; • excellent knowledge of languages: c++, c, (c# and python are a plus) • multithreading, finite-state machine • good knowledge of unit and integration testing • familiarity with distributed versioning and git/svn branching environments; familiar with the tcp/ip stack.",c++ qt c# python unit test git or svn,[1-3],,,Three-year degree,computer engineering,Pisa,,,2.0,2.6666666666666665,2.3333333333333335,2.0,2.0,1.0,3.0,944.25,True,ITALY,Tuscany,Livorno,Livorno,LIVORNO,True,True,43.7167,10.4,43.7167,10.4,43.55,10.3167,"Three-year degree in computer engineering. Worked in the Consulting sector. Last held the role of sw engineer. with [3-5] years of experience. Key skills include: C++, RADAR, SOFTWARE DEVELOPMENT.",19.703378291387516,19.703378291387516
62786,hired,26 - 30 years,TURIN » Turin ~ Piedmont,Female,False,"LATEX, MATLAB, SIMULINK, BIOMEDICAL INSTRUMENTATION",Biomedical Engineering,Three-year degree,[0],Life sciences,fresh graduate,[2020],,Turin,Engineering,Junior Consultant,3.0,,,,,,,,,,,2.0,3.0,2.5,2.5,2.5,2.5,3.0,350.0,True,ITALY,Piedmont,Turin,Torino,TURIN,True,True,45.0792,7.6761,,,45.0792,7.6761,"Three-year degree in Biomedical Engineering. Worked in the Life sciences sector. Last held the role of fresh graduate. with [0] years of experience. Key skills include: LATEX, MATLAB, SIMULINK, BIOMEDICAL INSTRUMENTATION.",,0.0
62790,in selection,40 - 45 years,GRUMO APPULA » Bari ~ Puglia,Male,False,SW DEVELOPER,computer engineering,Five-year degree,[3-5],Services and Information Systems,software engineer,[2018],,,,,2.5,,,,,,,,,,,2.5,2.0,2.5,2.5,3.0,2.0,3.0,1082.0,False,ITALY,Puglia,Bari,Grumo Appula,GRUMO APPULA,True,True,,,,,41.0167,16.7,Five-year degree in computer engineering. Worked in the Services and Information Systems sector. Last held the role of software engineer. with [3-5] years of experience. Key skills include: SW DEVELOPER.,,
62847,hired,31 - 35 years,ROME » Rome ~ Lazio,Female,False,,Geo-Biological,Five-year degree,[0-1],Others,post-doc researcher (scholarship),[2019],RS19.0263 - MTG Stage,Rome,Engineering,Junior Consultant,2.0,internship,internship for project coming from master tor vergata,[0],,,Five-year degree,Aeronautical/Aerospace/Astronautics Engineering,Rome,,,2.5,2.0,3.0,2.0,3.0,2.0,3.0,263.0,True,ITALY,Lazio,Rome,Roma,ROME,True,True,41.8931,12.4828,41.8931,12.4828,41.8931,12.4828,Five-year degree in Geo-Biological. Worked in the Others sector. Last held the role of post-doc researcher (scholarship). with [0-1] years of experience.,0.0,0.0
62894,in selection,20 - 25 years,VESPOLATE » Novara ~ Piedmont,Male,False,"SQL, JAVA, C, LINUX, C++, C#, HTLM, SQL, LINUX JAVASCRIPT, SQL, LINUX, JAVA, PYTHON, PHP, C",Informatics,Three-year degree,[0],Others,fresh graduate,[2023],,,,,1.6666666666666667,,,,,,,,,,,1.6666666666666667,2.0,2.0,2.0,2.0,1.6666666666666667,2.3333333333333335,615.3333333333334,False,ITALY,Piedmont,Novara,Vespolate,VESPOLATE,True,True,,,,,45.34953,8.66878,"Three-year degree in Informatics. Worked in the Others sector. Last held the role of fresh graduate. with [0] years of experience. Key skills include: SQL, JAVA, C, LINUX, C++, C#, HTLM, SQL, LINUX JAVASCRIPT, SQL, LINUX, JAVA, PYTHON, PHP, C.",,
62937,hired,26 - 30 years,VITERBO » Viterbo ~ Lazio,Female,False,,electronic Engineering,Five-year degree,[1-3],Railway,hw/sw,[2019],VIVIER ELECTRONICI TUSCANY,Bologna,Engineering,Junior Consultant,3.0,vivier candidates for positions in tuscany,"graduates in electronic engineering, it, telecommunications or mechatronics, with a minimum of 3-5 years of experience in hardware and firmware design, integration and validation. knowledge and experience in: - hardware design tools: orcad, altium, eagle - one or more families of microcontrollers: stm32, pic, avr, texas - computer networks and tcp/ip and udp protocols - c, c++ and assembly languages - python - embedded operating systems: freertos, micrium, chibios or others - linux and embedded linux - matlab/simulink - laboratory equipment (oscilloscopes, multimeters, signal generators) - practice in creating prototypes of electronic boards",[3-5],27000.0,39000.0,Five-year degree,electronic Engineering,Bologna,,,2.0,2.0,3.0,2.5,3.0,3.5,3.0,719.0,True,ITALY,Lazio,Viterbo,Viterbo,VITERBO,True,True,44.4939,11.3428,44.4939,11.3428,42.4186,12.1042,Five-year degree in electronic Engineering. Worked in the Railway sector. Last held the role of hw/sw. with [1-3] years of experience.,238.65900000613092,238.65900000613092
63199,in selection,31 - 35 years,TURIN » Turin ~ Piedmont,Male,False,"-, FULLSTACK, JAVA, SQL, HTML, RAZOR, REST API, ORACLE, SQL",Other,Three-year degree,[1-3],Others,full stack developer,[2021],,,,,2.0,,,,,,,,,39000.0,,2.5,2.0,2.5,2.0,2.5,1.5,1.5,280.0,False,ITALY,Piedmont,Turin,Torino,TURIN,True,True,,,,,45.0792,7.6761,"Three-year degree in Other. Worked in the Others sector. Last held the role of full stack developer. with [1-3] years of experience. Key skills include: -, FULLSTACK, JAVA, SQL, HTML, RAZOR, REST API, ORACLE, SQL.",,
63213,hired,26 - 30 years,MODUGNO » Bari ~ Puglia,Male,False,"-, QUALITY",Mechanical engineering,Five-year degree,[0],,,[2019],Materials and Processes Quality Assurance,Turin,Engineering,Junior Consultant,2.5,"review of the qualification status of materials and processes (tas internal product/sub assembly or from external supplier) review of qualification program and report for both tas and external suppliers performing mpcb for tas product/sub-assembly or for external suppliers, with customers mpcb and m&p action items follow up support the reviews (pdr, cdr, mrr) for tas internal product/sub assembly and external equipment communication with internal team (pa, eng, technologies) and external customers support the project internal documentation preparation (specifications, sow , etc)",quality engineer with expertise in aeronautical materials and processes. good level of english for participation in meetings with clients,[0-1],25000.0,33000.0,Five-year degree,Mechanical engineering,Turin,,,2.5,2.5,2.5,2.0,2.5,3.0,3.0,518.5,True,ITALY,Puglia,Bari,Modugno,MODUGNO,True,True,45.0792,7.6761,45.0792,7.6761,41.0833,16.7833,"Five-year degree in Mechanical engineering. with [0] years of experience. Key skills include: -, QUALITY.",863.5581384744194,863.5581384744194
63255,in selection,31 - 35 years,TURIN » Turin ~ Piedmont,Male,False,"HAZARD ANALYSIS AND RISK ASSESSMENT, HSE PROCESS, MATLATB, PROCESS SAFETY ENGINEER",Energy and Nuclear Engineering,Three-year degree,[3-5],Oil and Gas,hazop/hazid chairman chemical/oil&gas and power sector,[2022],,,,,2.5,,,,,,,,,47000.0,43000.0,2.5,2.0,2.75,2.5,2.5,2.5,2.75,581.0,False,ITALY,Piedmont,Turin,Torino,TURIN,True,True,,,,,45.0792,7.6761,"Three-year degree in Energy and Nuclear Engineering. Worked in the Oil and Gas sector. Last held the role of hazop/hazid chairman chemical/oil&gas and power sector. with [3-5] years of experience. Key skills include: HAZARD ANALYSIS AND RISK ASSESSMENT, HSE PROCESS, MATLATB, PROCESS SAFETY ENGINEER.",,
63315,qm,20 - 25 years,SORA » Frosinone ~ Lazio,Female,False,"ADAMS, MATLAB, SIMULINK",Mechanical engineering,Three-year degree,[0],,,[2021],,,,,3.0,,,,,,,,,,,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1258.0,False,ITALY,Lazio,Frosinone,Sora,SORA,True,True,,,,,41.7167,13.6167,"Three-year degree in Mechanical engineering. with [0] years of experience. Key skills include: ADAMS, MATLAB, SIMULINK.",,
63384,in selection,26 - 30 years,CATANIA » Catania ~ Sicily,Female,False,X,Biomedical Engineering,Five-year degree,[0],Life sciences,new graduate,[2021],,,,,3.0,,,,,,,,,,,3.0,3.0,3.0,2.0,3.0,3.0,2.0,799.0,False,ITALY,Sicily,Catania,Catania,CATANIA,True,True,,,,,37.5027,15.0873,Five-year degree in Biomedical Engineering. Worked in the Life sciences sector. Last held the role of new graduate. with [0] years of experience. Key skills include: X.,,
63480,qm,< 20 years,MILAN » Milan ~ Lombardy,Female,False,NOC DAS SUPPORT,Informatics,Three-year degree,[5-7],Telecom,network engineer,[2023],,,,,2.5,,,,,,,,,31000.0,31000.0,2.5,3.0,3.0,2.5,3.0,2.5,3.0,508.0,False,ITALY,Lombardy,Milan,Milano,MILAN,True,True,,,,,45.4669,9.19,Three-year degree in Informatics. Worked in the Telecom sector. Last held the role of network engineer. with [5-7] years of experience. Key skills include: NOC DAS SUPPORT.,,
63565,in selection,31 - 35 years,SPOLTORE » Pescara ~ Abruzzo,Male,False,"JAVA BACKEND, CLOUD",Informatics,Five-year degree,[3-5],Telecom,software engineer,[2019],,,,,2.0,,,,,,,,,,,2.5,2.5,2.0,2.0,1.5,1.0,2.5,1018.6666666666666,False,ITALY,Abruzzo,Pescara,Spoltore,SPOLTORE,True,True,,,,,42.455,14.1399,"Five-year degree in Informatics. Worked in the Telecom sector. Last held the role of software engineer. with [3-5] years of experience. Key skills include: JAVA BACKEND, CLOUD.",,
63571,in selection,26 - 30 years,SAVA » Taranto ~ Puglia,Female,False,"CHEMICAL, CHEMICAL LABORATORY ANALYST, LABORATORY, LABORATORY CHEMICAL ENGINEER, MATERIALS SCIENTIST, OIL AND GAS, WATER TREATMENTS",Other scientific subjects,Five-year degree,[3-5],Oil and Gas,chemical laboratory analyst and technician,[2021],,,,,1.5,,,,,,,,,21000.0,25000.0,1.5,2.6666666666666665,2.3333333333333335,2.0,2.3333333333333335,1.6666666666666667,2.5,300.0,False,ITALY,Puglia,Taranto,Sava,SAVA,True,True,,,,,40.4003,17.5667,"Five-year degree in Other scientific subjects. Worked in the Oil and Gas sector. Last held the role of chemical laboratory analyst and technician. with [3-5] years of experience. Key skills include: CHEMICAL, CHEMICAL LABORATORY ANALYST, LABORATORY, LABORATORY CHEMICAL ENGINEER, MATERIALS SCIENTIST, OIL AND GAS, WATER TREATMENTS.",,
